,address,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4984727756,1111 Belle Pre Way,Alexandria,US,38.813964,5,-77.050123,VA,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
 CALL US TODAY! 
show contact info
x818 1111 BELLE PRE1 bedroom 1 bath   714sqft   $1,880 - $1,990  DESCRIPTION:  Looking for closet space? This apartment has it! Enjoy a walk in closet a spacious linen closet and a coat closet! Each space has its own custom shelving.  Located in historic Old Town Alexandria, minutes from an enticing array of restaurants, nightlife, and shopping.  1111 Belle Pre Way  Alexandria, va 22314  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/old-town-alexandria/1111-belle-pre-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,4,w/d in unit,attached garage,$1880,no smoking,714,http://washingtondc.craigslist.org/nva/apa/4984727756.html
4957148422,,,,,,,,available now,0,,0,,2016-04-17,"
        ******************** MOVE IN / OUT SPECIAL***************

HELLO. WE ARE INDEPENDENT CLEANING SERVICES WHIT MORE THAN 5 YEARS OF EXPERIENCES, GOOD REFERENCES  AND WE CLEAN HOUSES, APARTMENTS, TOWN HOUSES, OFFICES ETC.
OFFER SERVICES WEEKLY, BI-WEEKLY, MONTHLY. ONE TIME, MOVE IN, MOVE OUT.
WE ALSO CLEAN CARPETS TOO!!!!!!
SUPPLIES DON'T HAVE TO BE PROVIDED.
FREE ESTIMATES.
REACH US AT:
DAYSI:   
 show contact info

JOSE:     
 show contact info

",,apartment,0,,, (NORTHERN VIRGINIA),,,http://washingtondc.craigslist.org/nva/apa/4957148422.html
4984667268,,,,38.815700,22,-77.621600,,available now,0,,0,,2015-04-18,"
        Studio -- Studio 1 bath / 327 sq ft / $1099 monthly Want more information? http://unit-availability.com/lead/401346135845/1?extnId=4021415 Call Us Today! 
 show contact info
x452  Property Description  If you are looking for a unique studio, we have a great apartment alternative for you! The room has an open layout with a sofa sleeper and a coffee table as well as a full bed and a nightstand. Across the room, guests find a dresser with a flat-panel television and a closet alcove. The affordable twenty-eight day rate covers the cost of cable and at least one premium movie channel. The studio also receives bi-weekly housekeeping.  Floor Plan/Unit Features  * Microwave oven  * Studio Double has two Full-Size Beds  * Shower curtain  * Full-size refrigerator with freezer  * Towels, washcloths, bathmat  * Dining table with two chairs  * Color TV with cable  * Dresser and nightstand  * First roll of bathroom tissue  * Secured, interior-corridor access  * Two-Burner Stovetop  * Sofa Bed and a Coffee Table  * Full-size bed(s) and bedding  * Flat Screen TV  * Vending machines  * Housekeeping every two weeks  Property Amenities  * Secured, Interior-Corridor Access  * 24-Hour Onsite Laundry Room  * Coin Operated Laundry Facility  * Vending Machines  * Housekeeping Every Two Weeks  * Laundry Room Units: 113 Office HoursMonday:   9:00am to 10:00pmTuesday:   9:00am to 10:00pmWednesday:   9:00am to 10:00pmThursday:   9:00am to 10:00pmFriday:   9:00am to 10:00pmSaturday:10:00am to 7:00pmSunday :    3:00pm-8:00pm24 Hour Check-in Available Call Us Today! 
show contact info
x452 
",,apartment,0,,,$329,,,http://washingtondc.craigslist.org/nva/apa/4984667268.html
4984725679,2700 Dorr Avenue,Fairfax,US,38.880268,0,-77.233432,VA,available now,270000, 1,1 ,cats are OK - purrr,2016-04-14,"
        1 bedroom, 1 bath + den, renting for $2,105; receive 1.5 Months Free, making your net rent only $1,842!

Prosperity Flats, managed by Gates Hudson
2700 Dorr Avenue
Fairfax, VA 22031
show contact info


This upscale community of new apartments in Fairfax, Virginia offers a wide array of brand new, stylish one- and two- bedroom floor plans for your convenience. 

This spacious one bedroom apartment features a modern kitchen with stainless steel appliances and granite countertops. 

VIEW OUR WEBSITE:

http://www.prosperityflats.com

Monday 8:30am - 5:30pm
Tuesday 8:30am - 7:00pm
Wednesday 8:30am - 5:30pm
Thursday 8:30am - 7:00pm
Friday 8:30am - 5:30pm
Saturday 8:30am - 5:30pm
Sunday 11:00am - 5:00pm

[#1623023]
",dogs are OK - wooof,apartment,12,w/d in unit,detached garage,$1842,,837,http://washingtondc.craigslist.org/nva/apa/4984725679.html
4984652377,20723 Reserve Falls Terrace,Potomac,US,39.044098,5,-77.422443,Falls,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
The Reserve at Town CenterWe're located at: 20723 Reserve Falls Terrace Potomac Falls, VA 20165  Take a look at what The Reserve at Town Center has to offer!   Set off Leesburg Pike, these Sterling, VA apartments put you in the heart of one of Northern Virginia's most sought-after areas. Live moments from Dulles Town Center and the incredible array of shopping, dining and entertainment including everything from a Cheesecake Factory to a Nordstrom.

*Rates are subject to change. 1 bedrooms / 1 bathrooms / $1325 - $1400/month. Lease Terms - 3-Month, 4-Month, 6-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month    Leasing Office:
show contact info
 Leasing Hours: Mon - Fri: 9:00 AM - 6:00 PMSat: 10:00 AM - 5:00 PMSun: 11:00 AM - 5:00 PMAdditional Information: -- Additional storage available-- Garage spaces and covered parking-- Interior sprinkler system Get More Information Website: http://livetowncenter.com/  Professionally managed by Bainbridge Companies EQUAL HOUSING OPPORTUNITY
",dogs are OK - wooof,apartment,4,w/d in unit,,$1325,,780,http://washingtondc.craigslist.org/nva/apa/4984652377.html
4984712320,,,,,,,,available now,270000,,0,,2015-04-18,"
        Renting up to 3 bedrooms in a Single family home. Located in a great community in Gainesville, Va. Seconds away from Route 66 and newly developed Shopping plazas. 

$800 per room/month 
First and last months deposit required.

Amenities: 
Utilities included 
Washer & dryer
Spacious closets 
High speed Internet 
Garage space available 
Indoor and outdoor pools
Fitness center 
Golf course & Club house 
Secure gated community

Applicant must be clean, professional, and non-smoking

No pets allowed.

Serious inquiries ONLY
If interested, please email me with the following***
1) Short description of yourself (i.e. profession, lifestyle, kids if any) 
2) Are you looking for a short or long term lease
",,apartment,3,laundry on site,attached garage,$800,no smoking,,http://washingtondc.craigslist.org/nva/apa/4984712320.html
4945409052,,,,,,,,available now,270000, 2,2 ,,2015-03-23,"
        This brand new 2 bedroom unit is available now! The property offers great amenities in a great location. The unit includes stainless steal appliances, hardwood floors, W/D in unit, gourmet kitchen, walk in closets, and large windows. Contact Domenick today to schedule a personal tour!

Property Code: JLBAVA1
    ",,apartment,7,w/d in unit,,$1879,,,http://washingtondc.craigslist.org/nva/apa/4945409052.html
4960591111,,,,,,,,available now,270000,,0,,2015-04-02,"
        Do not miss out on this brand new studio unit available now in a great location! This unit includes hardwood floors, stainless steal appliances, private balcony, large closet space, and W/D in unit. Property offers a pool, fitness center, cyber cafe, business center, lounge, club room, BBQ area, Starbucks and Harris Teeter. Contact me today for a personal tour! 

Property Code: KETVA1
    ",,apartment,6,w/d in unit,,$2085,,,http://washingtondc.craigslist.org/nva/apa/4960591111.html
4940133988,,,,,,,,available now,270000,,1,,2016-03-18,"
        Brand new 1 bedroom unit available now!!! This unit offers granite countertops, stainless steel appliances, W/D in unit, hardwood floors, private balcony, walk-in showers, and oversized bathtub. The property offers a pool, fitness center, business center, lounge, and 24-7 concierge services. Contact Domenick today for a personal tour!

Property Code: JLBVA1
    ",,apartment,7,w/d in unit,,$1599,,,http://washingtondc.craigslist.org/nva/apa/4940133988.html
4942799518,,,,,,,,available now,270000, 2,2 ,,2015-03-21,"
        This brand new 2 bedroom unit offers great amenities in a great location. The unit includes stainless steal appliances, hardwood floors, W/D in unit, gourmet kitchen, walk in closets, and large windows.
Contact Domenick today for a personal tour!

Property Code: JLBAVA1
    ",,apartment,7,w/d in unit,,$1879,,,http://washingtondc.craigslist.org/nva/apa/4942799518.html
