,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4995075710,Arlington,US,38.859727,10,-77.055584,VA,available now,54000, 1,0 ,cats are OK - purrr,2015-04-24,"
 CALL US TODAY! 
show contact info
x510 LOFTS 590Studio 1 bath   539sqft   $1,580 - $1,620  DESCRIPTION:  This 539sf studio apartment is your modern retreat. It features stainless steel appliances 9'-12' ceilings either cork or polished concrete flooring and a gorgeous open floorplan.  Enjoy loft living with stainless appliances, exposed HVAC, and walk-in closets, all walking distance to Pentagon Row, shopping, dining, and the Metro.  590 S 15th St  Arlington, va 22202  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/pentagon-city/lofts-590-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,5,w/d in unit,attached garage,$1625,no smoking,539,http://washingtondc.craigslist.org/nva/apa/4995075710.html
4995060928,Arlington,US,38.879874,10,-77.107495,VA,available now,30000, 1,1 ,cats are OK - purrr,2015-04-24,"
 Minutes from restaurants, shopping and the Ballston Metro. Enjoy our rooftop pool, fitness center, and stunning views of the DC skyline.  Washington  1  bed / 1 bath / 903 sq ft / $2,180 /font>Liberty Tower 818 N Quincy St Arlington, VA 22203 Property Website:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/ballston/liberty-tower-apartments.aspx?ilsid=93 Want more information? http://unit-availability.com/lead/5ey754328170/1?extnId=4408058 Call Us Today! 
 show contact info
x481  Property Description  Extremely spacious 1 bedroom with double vanity in bathroom with immediate move-in. (Washington)  Floor Plan/Unit Features  * Large Closets  * Garage  * Private Patio  * Private Balcony  * Washer/Dryer in Unit  * View  Property Amenities  * Smoke Free Living  * Concierge  * Garage  * Fitness Center  * Package Receiving  * Pool  * Transportation  * Business Center  * Clubhouse  * Gate Lease Terms: Flexible terms Parking:Pet Policy: Cats and Dogs are allowed. Units: 235 Office HoursMonday:   9:00am to 6:00pm Tuesday:   9:00am to 6:00pm Wednesday:   10:00am to 6:00pm Thursday:   9:00am to 7:00pm Friday:   9:00am to 6:00pm Saturday:   9:00am to 5:00pm Sunday:   12:00pm to 5:00pm Management Company: Equity Residential Call Us Today! 
show contact info
x481 Equal Housing Opportunity
",dogs are OK - wooof,apartment,9,w/d in unit,attached garage,$2180,no smoking,903,http://washingtondc.craigslist.org/nva/apa/4995060928.html
4995045433,,,38.589286,0,-77.288582,,available now,11250, 1,1 ,,2015-06-01,"
        Furnished basement self-contained space in end townhouse backing to woods in River Oaks community. Separate patio entrance within fenced backyard. 

Kitchenette with full-size stainless steel refrigerator, ice maker, microwave, sink, garbage disposal, small appliances (single induction cook top, toaster oven, Foreman grill, crock pot, coffee maker), dishes, cookware, and silverware. Counter space is limited as shown in photo. NO STOVE.

Bathroom contains customized large shower with sliding doors, ceramic tile, bowl sink, medicine cabinet, and mirror.  Towels, face cloths, and matching bath mat provided. NO TUB.

Separate sleeping area with queen bed, night stand, chest of drawers, mirror, lighted ceiling fan, lamps, and closet.  Two sheet sets, blankets, pillows, and comforter provided.

Great room furnished with sofa, coffee table, entrance console, office desk and chair, dining table with two chairs, ceiling fan, built-in entertainment center with flat screen HD TV, coat rack, recessed lights, dimmer, decorative lamp, and walk-in storage closet.  

Rooms/walls decorated; however, tenant may decorate according to own taste as long as walls are not damaged. Walls, carpet, and tile are neutral earth tones. Entertainment center provides space for personal free-standing pictures and art and extra storage.

Utilities included (heat, air conditioning, electric, gas).  (Replaced hot water heater last month and HVAC last year.)  FIOS internet/cable with HBO, On Demand access to many TV series and movies, and NFL Red Zone. Trash pickup at curb twice/week; recycle once week.  Assigned parking space for tenant and ample visitor parking throughout community.

Ironing board, iron, laundry basket, hangers, and vacuum cleaner also provided. Access to washer and dryer available.

Space comfortable for individual or couple. Parent with younger child would not have tub for bathing. 

Located off Jefferson Davis Highway approximately 7 miles from Potomac Mills; short drive to grocery stores and shoppes and restaurants at Stonebridge at Potomac Town Center; short commute to commuter lots, VRE, or against traffic to Quantico; five minutes south of Leesylvania State Park (http://www.dcr.virginia.gov/state-parks/leesylvania.shtml#general_information) and Julie J. Metz Wetland Preserve (http://www.pwcgov.org/government/dept/publicworks/hp/pages/metz-wetlands.aspx). 

Six month lease, security deposit, background check, and references required--applicant to pay fee for checks which will be provided to applicant and homeowner. Current tenant moving due to change in family situation. 

Space available for viewing with appointment. Tenant is still occupying space so I will coordinate time with her. Move in late May or early June. (Had advertised space previously for an earlier date. Tenant now has firmed her plans.)  Space will be cleaned prior to your move in.

Thanks for your  time and interest.

Barbara

",,in-law,24,laundry on site,off-street parking,$1020,no smoking,715,http://washingtondc.craigslist.org/nva/apa/4995045433.html
4995042655,,,,,,,available now,33750, 1,1 ,cats are OK - purrr,2015-06-01,"
        Cozy one bedroom apartment located 5 minutes from Fort Belvoir,
Near many shops and stores, 
Just painted with new floors, 
Walking closet, fire place, in unit washer and dryer, reserved parking space...
Perfect place for professionals working at Fort Belvoir or OldTown Alexandria.
Available june1st, 2015
    ",,apartment,8,w/d in unit,off-street parking,$1125,no smoking,,http://washingtondc.craigslist.org/nva/apa/4995042655.html
4990409675,Alexandria,US,38.831398,0,-77.107374,VA,available now,11250, 1,2 ,cats are OK - purrr,2015-05-01,"
        For rent is a fully remodeled 2 bedroom 1 bath condominium on the 5th floor at a very quite and convenient location. The name of the building is Park Place Condominiums in Alexandria,VA http://www.parkplaceva.com/ 

The unit is available immediately.  Rent includes all utilities (gas, electricity, water)

Asking $1699/month + 1 month security deposit.

$45 rental application fee for all parties on the lease. Must have great previous rental history and a good credit.

The address is 2500 N.Van Dorn Str., Alexandria,VA 22302

Call me daily between 10AM - 9PM
    ",,apartment,24,laundry in bldg,off-street parking,$1699,no smoking,980,http://washingtondc.craigslist.org/nva/apa/4990409675.html
4995050918,,,38.692900,0,-77.204000,,available now,54000, 1,0 ,,2016-04-07,"
        Sunny open and private finished basement in upscale home in a park like setting. Private bath washer and dryer wet bar. Separate entrance close to Fort Belvior Parks Shopping and the Potomac River.

In an upscale home on 3 acres in a park like setting.
    ",,apartment,5,w/d in unit,off-street parking,$10255,,800,http://washingtondc.craigslist.org/nva/apa/4995050918.html
4986950835,,,,,,,available now,135000, 1.5,5 ,cats are OK - purrr,2015-04-19,"
        Move in fast,  4 bed 2 bath house in Fort Belvoir.Steam Room, Carpeting, Dining / Living Combination, bathrooms.
If this is the kind of home you want call 
 show contact info
to speak with a friendly  housing coordinator.
Call to find out how you can rent to own your dream home using our program.

 GREAT QUITE STREET,FRONT COURTYARD GATE,FORMAL ENTRY OPENS TO INFORMAL EATING AREA THAT OPENS TO UPDATED KITCHEN WITH GRANITE COUNTERS, LARGE LIVING ROOM WITH FIREPLACE OVERLOOKS COZY BACK YARD,HUGE MASTER BEDROOM WITH LARGE WALK IN CLOSET AND BATH THAT INCLUDES A WALK IN SHOWER AND GRANITE COUNTERS, 2 SECONDARY BEDROOMS OFF HALL, PETS ON CASE BASIS,FRIDGE TO STAY,WASHER AND DRYER UPON REQUEST,owner will except the carpet from the we will not hold tenant responsible for stains etc) IMMACULATE 2.1 SF. UNIT. 2 BEDROOMS PLUS HUGE DEN . PRIVATE ELEVATOR ACCESS OPENS TO THIS ELEGANT, BRIGHT AND COZY OPEN FLOOR PLAN UNIT WITH 2 LARGE TERRACE WITH DIRECT VIEW TO POOL AND GARDENS. OPEN KITCHEN AND SEPARATE MAIDS QUARTERS. DECORATOR UPGRADES AND PROFESSIONAL BUILT CLOSETS. 24 HOURS CONCIERGE AND VALET PARKING. OCEAN CLUB AMENITIES: BEACH CLUB, TENNIS COURT, GYM, SPA, RESTAURANTS. EASY TO SHOW.

Vienna Woodbridge
    ",dogs are OK - wooof,house,2,,,$1400,,1975,http://washingtondc.craigslist.org/nva/apa/4986950835.html
4984294465,alexandria,US,38.814323,0,-77.129429,VA,available now,38571, 1,1 ,,2015-05-01,"
        This bachelor pad is perfect for those who work in town during the week and escape for the weekends. The building has gym, pool, meeting room and all the utilities are included in the rent.
The unit is available soon and all serious offers will be considered. Photos upon request.

580+ sq feet one bedroom one bath, on bus line right to metros.  Near landmark Mall and Mark center office, plus library is walking distance.  Surface parking available and looking for responsible tenant.
Military and civil service to the front of the line.
contact :   
 show contact info
",,apartment,7,laundry in bldg,off-street parking,$1325,no smoking,580,http://washingtondc.craigslist.org/nva/apa/4984294465.html
4985183930,ANNANDALE,US,38.826563,0,-77.178241,VA,available now,45000, 2,3 ,,2016-03-01,"
        Bonito y espacioso condo de ladrillo de 1400 pies cuadrados ,estilo townhouse , 2 niveles. 
3 dormitorios con piso de madera, ventiladores en el techo y closets adicionales.
2 baños completos.
Cocina con comedor de diario, dos alacenas . Cocina incluye  lavadora de platos, Microwave, refrigerador, cocina eléctrica  con extractor para afuera.
Cuarto de lavandería  con lavadora y secadora grande.
Sala y comedor amplio.
Piso de madera en todos los dormitorios y alfombra en la sala y comedor.
Espacio adicional para guardar cosas en el atico.
Aire acondicionado/ calefacción  con termostato programable.
Balcon.
Todo es eléctrico, una sola cuenta. No gas.
Agua incluida en la renta.
2 espacios para parqueo de sus autos mas 1 para sus visitantes.
Todo el mantenimiento de afuera incluido , incluye mantenimiento de jardines, limpieza de nieve y basura.
Piscina para adultos y para niños, área de juegos para niños.
Fácil acceso a transportación publica, bus pasa a una cuadra. Fácil acceso a el beltway.
No mascotas.
Contrato mínimo de  1 año.
1 mes de deposito .
Renta mensual $1,950.
Disponible  Mayo 1.
Se acepta Section 8




",,condo,6,w/d in unit,street parking,$1950,,1400,http://washingtondc.craigslist.org/nva/apa/4985183930.html
4995043677,,,,,,,available now,38571, 3,5 ,cats are OK - purrr,2015-05-01,"
        This beautiful 1930 home has been fully renovated to rejuvenate the original appeal of the home while modernizing the necessary features. The front porch and side patio of this home serve as additional rooms when the weather allows. The front door opens up to the original living room of the home complete with working fireplace. Through the renovation, the wall between this living room and the kitchen was opened up to allow for seamless flow from the front to the back of the original house. The kitchen includes new wood cabinets with a built-in wine rack, dark green granite countertops, new stainless steel appliances, and two pantry closets. Two bedrooms are located off to the side of the living room/kitchen on the main floor. This home also boasts a new central HVAC system heating and cooling the entire house. The back stairwell provides access to the addition and to the basement. The addition includes two more bedrooms and a full bath off of a back hallway which also leads to the side/backyard. The basement includes a large living room and large bedroom with walk-in closet. It also includes a sizable bathroom with a large walk-in shower complete with a built-in seat. At the end of the wide basement hallway is a large laundry/utility area complete with new front-load washer/dryer. The side yard provides an additional living space with a concrete patio, complete with a fire-pit, outdoor seating, and outdoor lighting. The backyard is paved providing a large concrete patio behind the house for entertaining. There is also a driveway along the side providing parking as well as a parking spot in the front of the house. This home is a short walk (5 blocks) to numerous restaurants, bars, and attractions on Columbia Pike including Arlington Cinema and Draft House, P. Brennans's Irish Pub, Lost Dog Cafe, Bangkok 54, etc. Even closer (2 blocks), is a large field and playground located at Patrick Henry Elementary School.
    ",dogs are OK - wooof,house,7,w/d in unit,off-street parking,$3500,,1700,http://washingtondc.craigslist.org/nva/apa/4995043677.html
