,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4975720421,Herndon,US,38.949864,0,-77.415054,va,available now,30000, 2.5,3 ,,2015-04-30,"
        Beautiful and bright 4 level luxury townhouse-style condo with 1-car garage in Coppermine Crossing.  Main level has bay window and gas fireplace.  Master Bedroom Suite boasts tray ceiling, oversized walk-in closet, and spa-like Bathroom with giant soak tub. Washer and dryer included.  Great community amenities include a walking path as well as a great park that you can see from the house. Backs to wooded common areas. Close to shopping, entertainment, & future Metro!  Great commuter location:  easily hop on to Rt. 28 or the toll road.  You can be at Dulles Airport in 5 minutes!  Looking to have unit occupied May 1.  Please contact Aaron via text (preferred) or email for more info or to schedule a walkthrough.
    ",,townhouse,9,w/d in unit,attached garage,$1950,,1650,http://washingtondc.craigslist.org/nva/apa/4975720421.html
4997764535,brambleton,US,39.014200,0,-77.528500,DC,available now,54000, 1,1 ,,2015-04-27,"
        In a newly constructed single family house large room available with attached full bathroom and Closet but no kitchen. Ideal for single person
- There is plenty of space (35 feet X 20 feet)
- Separate entrance  ( walk up entrance)
- Utilities are included along with Fios TV package and WI-FI
- Near to shopping complex and Fox Cinemas
- Refrigerator and Microwave oven will be provided


Nearby Locations
•       Access to Dulles Greenway, Route 28, Route 50, Route 15 and Route 7
•	Brambleton Park & Ride Lot to Rosslyn / DC
•	Dulles Town Center Mall (~9 miles)
•	Dulles International Airport (~ 8 miles)
•	Reston Town Center (~ 12 miles)
•      Near to AOL, Verizon and the Dulles Technology Corridor, several grocery stores,Home Depot, FOX Cinemas, Costco, and more.

 No pets please 

Tags: Ashburn, Brambleton, Loudoun County
",,house,5,,street parking,$799,no smoking,800,http://washingtondc.craigslist.org/nva/apa/4997764535.html
4993906403,Manassas,US,38.758333,5,-77.473719,VA,available now,67500, 3.5,5 ,,2015-05-15,"
CONTACT INFOMichael Brown
show contact info
INCREDIBLE HOME IN HISTORIC DOWNTOWN CITY OF MANASSAS - WALK TO EVERYTHING -  - $2,595.00 per month9120 Taylor Street, Manassas, VA 20110FEATURESBedrooms: 5Bathrooms: 3.5Year Built: 2009Garage Size: 2School District: Manassas CitySquare Footage: 3000Agent Name: Mike BrownBroker: Creighton EnterprisesDESCRIPTIONThere is quite a gap between ordinary and extraordinary. When something is extraordinary, you just know it. Welcome to the City of Manassas and 9120 Taylor Street.  4 large bedrooms makes this the perfect home for your family. Give us a call and we would be happy to show you around. Pets on a case-by-case basis. Near I-66, Prince William Parkway, short walk to VRE, seconds to Route 28 and Route 234 Right in the heart of Old Town Manassas - see yourself http://www.manassascity.org/$2,595.00 Please call 
 show contact info
Available May 15thWe are quite proud of our house, and take a great deal of care and effort to make it a home for you. DIRECTIONS: (From I-66 and Route 234)Approximately 3.5 miles on Route 234(Sudley Road) South (away from Battlefields)Bear right at light onto Grant AvenueApproximately 1/3 mile to left on Beauregard AvenueLeft onto Taylor StreetFirst House on Right.It's All in the Details:- fireplace in family room- 25 cuft sidebyside stainless steel refrigerator and dishwasher- Granite counter tops- stainless steel range- Cooktop on island- kitchen bay window- walkin pantry- maple cabinets- first and 2nd floor hardwood floors- ceramic kitchen tile- walkin master closet- gorgeous molding on entire first floor including kitchen- upstairs laundry room- master bath his/her vanity and huge shower- detached 2 car garage- full finished basement with office, rec room and full bath- outside basment entrance to rec room Schools: Elementary- Haydon Middle - Metz High - OsbournAPPLIANCESRange/OvenFull RefrigeratorDishwasherSink DisposalINTERIOR AMENITIESHardwood FloorsKitchen IslandBasementOTHER PRICING DETAILSAvailable Date:   Fri May 15, 2015Deposit:   2595.00Minimum Lease:   1 YEAR
",,house,4,w/d in unit,detached garage,$2595,,,http://washingtondc.craigslist.org/nva/apa/4993906403.html
4997552154,Vienna,US,38.897700,22,-77.288000,Va,available now,18000, 1,1 ,cats are OK - purrr,2015-04-26,"
        ﻿Arrowood Parc Apartments2526 Chain Bridge Road #101, Vienna, VA 22181Building & Floor Plan Description:Building Type: Garden Style
Home Layout Type: Flats
Unique Floor Plan Layouts: 4
Total number of Units on Property: 300
WalkScore: 74Newly Renovated Specials!



Please Call our Leasing Professional
for more information...

show contact info
Arrowood Parc Has Newly Renovated Apartment Homes At A New Low Price!See link below for more information.
http://www.ArrowoodParc.AbodeCL.com/t/z5/cx/wellington.html?i=TZ5CX&r=cl

Floor Plan Details
""Wellington"", 1 bed/1 bath, 850 sqft, Flat/Single Level

More About This Property
Arrowood Parc features a blend of the classic charm of a well-established community with today's quick lifestyle, modern design and innovation. 


FeaturesNewly Renovated Kitchens with Modern AppliancesBrand New Washer & DryersIndividual Heating & Air ConditioningSeparate Dining RoomBreakfast RoomPrivate Balconies & PatiosAbundant Closet SpaceHuge Floor PlansFurnished Apartments AvailableWood viewsOversized ClosetsAmenitiesSeconds to I-66, Rt. 123/Chain Bridge Road and I-495Tot LotBBQ and Picnic AreasMinutes to the Vienna Metro StationMoments to GMU, Flint Hill School and Oak Marr Recreational Center and Golf CourseNear Washington-Dulles International AirportMinutes to Shoppping and Dining at Tysons CornerClothes Care FacilitiesControlled Access ApartmentsOn-Site Tennis CourtNewly Remodeled Fitness CenterBasketball CourtPlentiful ParkingIn-Unit Washers and DryersSparkling Swimming & Wading PoolsServicesPackage AcceptanceSe Habla EspañolWhat people are saying about Arrowood Parc

""Great location in lovely Vienna, VA! Walking distance to excellent elementary school (Louise Archer). Restaurants and Whole Foods are less than a mile away. Easy access to Vienna METRO and I-66."" -- Resident 

""I have been living in this community for 7 years. The location is good for someone who has limited use of a car. The metro is a 15 minute walk.  The neighbors around me were very nice and quiet. I would recommend living here. I have never had any problem with parking and in the winter the snow removal was done all the time."" -- Resident 

""Arrowood is a great place to live!! The location is amazing, close to 66 and close to many restaurants and supermarkets. Management has been great to us and they have addressed any minor issues we had in a prompt and effective manner. The complex is always very clean, the people in the community are very nice and friendly."" -- Resident 

Cats Allowed / Dogs Allowed
Breed and weight restrictions may apply.
Dogs: Breed and Weight Restrictions: Up to 2 pets per home, Up to 75 Lbs. each, No aggressive breeds and/or exotic pets.
Pet Fees: $35 monthly pet rent per pet. *Service Animals are not subject to any pet fees or pet rent.
Pet Deposit: $350 non-refundable fee per pet.

Open Hours
Monday: Closed
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 6:00 pm
Saturday: 10:00 am - 6:00 pm
Sunday: 10:00 am - 6:00 pm
Open most U.S. holidays



The monthly rental price stated on Craigslist is accurate at the time of post.
Please call to verify all pricing and availability as it may be subject to change daily.

EHO / Equal Housing Opportunity At Arrowood Parc
-.: :.- ---..:.----:.....:--:.-- -....:-....:-....:--.-:---.. ---.:...--

rrXJcEp PrXJuV TrXJcMDKkI UrXJus FrXJbau ObGC EHO / This Property iS AN EquaL HOuSiNg opPortUnitY PROVidER cCjUZD YrXJyVJ rXJ pIQgE Pfu lrXJa akEZW
    ",dogs are OK - wooof,apartment,15,w/d in unit,,$1420,,850,http://washingtondc.craigslist.org/nva/apa/4997552154.html
4997584948,,,38.819100,0,-77.148400,,available now,30000, 1.5,2 ,cats are OK - purrr,2015-04-30,"
Bennington Crossings

http://benningtoncrossing.prospectportal.com/su/g5jb
CONTACT US

Bennington Crossings 441 N. Armistead Street, Alexandria, VA  22312 
show contact info
 http://benningtoncrossing.prospectportal.com/su/g5jb Office Hours:


Mon
:
9:00am - 6:00pm


Tue
:
9:00am - 6:00pm


Wed
:
9:00am - 6:00pm


Thu
:
9:00am - 6:00pm


Fri
:
9:00am - 6:00pm


Sat
:
10:00am - 5:00pm


Sun
:
12:00pm - 5:00pm




Come home with confidence to Bennington Crossings.  Confident that you've got everything you need, including a swimming pool, state of the art fitness center, and wireless e-Lounge.  Confident that you've come to the right place with I-395, I-95, I-495 and the Van Dorn Metro close by.
FLOORPLAN: A01

Sq Feet:
756.00
-
756.00

Rent: $1060.00 - $1565.00
Bed/Bath: 1/1

COMMUNITY AMENITIES

Playground
24 Hour Fitness Gym
Swimming Pool
Laundry Facilities
Kiddie Pool
Business center
On-Site Maintenance

EQUAL HOUSING OPPORTUNITY 


",dogs are OK - wooof,apartment,9,laundry in bldg,off-street parking,$1455,,1022,http://washingtondc.craigslist.org/nva/apa/4997584948.html
4997482993,,,,,,,available now,45000, 1,2 ,cats are OK - purrr,2015-06-10,"
        We have a lovely 2 Bedroom/ 1 Bath apartment priced for only $1713!
 ACCESSIBLE LOCATION: 
 Convenient location inside the Beltway
Metro bus stop on-site
About 15 minutes to Tysons Corner 
About 20 minutes to Fair Oaks Mall
About 20 minutes to Alexandria and Arlington 
About 30 minutes to DC
About 30 minutes to Dulles International and Reagan National airports
Give me a call today for more information on this unit. 
Ask for: Maricela
  av156will md

    ",dogs are OK - wooof,apartment,6,w/d in unit,off-street parking,$1713,,1166,http://washingtondc.craigslist.org/nva/apa/4997482993.html
4988083584,Alexandria,US,38.821333,0,-77.059070,VA,available now,67500, 1,2 ,cats are OK - purrr,2016-03-03,"
        Immediate Move In Available, Prefer Someone To Move In by June 1st

Renovated 2 bed/1 bath in Del Ray 

- Hardwood Floors 

- Central A/C/Heat Units With Digital Thermostats 

- Stainless Steel Appliances Including Dishwasher and Microwave 

-Nice Open Kitchen With Newer Cabinets 

-Newly Remodeled Bathrooms As Well

-Separate Living/Dining Area's 

-Large Bedrooms and Closets 

-Steps To ""The Ave"" Shops Restaurants 

-Don't Need A Car, But If You Have One, We Have Off Street Parking 

-Minutes To Old Town, Crystal City, National Airport, D.C., Pentagon 

$50 Pet Fee Per Month Per Pet(1 dog under 25lbs or 1 cats) 

MINUMUM 1 YEAR LEASE





Water and Gas Are Included In Rent 

Tenant Pays Electric and Cable/Internet 



No Application/Move In Fees 



All Units Require 1 Months Security Deposit 

We Can Show The Unit By Appointment


WE CAN E-MAIL YOU AN APPLICATION THAT YOU CAN BRING WITH YOU 
PLEASE DO NOT EMAIL US ASKING IF THE UNIT IS AVAILABLE, IT IS!









218 E. Mason Ave 







",dogs are OK - wooof,apartment,4,laundry in bldg,off-street parking,$1800,no smoking,900,http://washingtondc.craigslist.org/nva/apa/4988083584.html
4997361935,Manassas,US,38.772956,5,-77.545795,VA,available now,45000, 2,2 ,cats are OK - purrr,2015-04-26,"
        ﻿

Arcadia Run



8401 Rosebay Lane, Manassas, VA 20109

**FREE Freedom Aquatic Center Membership**
*(Up to $1,100 value)*


**Call our friendly leasing staff for details!**



show contact info




Brand New Two Bedroom Plus a Den Available Now!

*Copy the URL below and insert into your browser window.*
ArcadiaRunLuxuryApartmen.HomeSearchCL.com/k/s4/ag/broadrun.html?i=KS4AG&r=cl

*Floor Plan Details*
""Broad Run + Den"", 2+ bed/2 bath, 1177 sqft, Flat/Single Level

*Features*

 • 42"" Designer Kitchen Cabinets
 • Over-Sized Kitchens
 • 9-Foot Ceilings
 • Ceramic Tile In Baths
 • Balconies or Patios
 • Vinyl ""Hardwood"" Flooring
 • Pendant Lighting
 • Granite Kitchen Counters
 • Full-Size Washer & Dryer
 • Extended Windows
 • Black Appliance Package*
 • Walk-In Closets*


*Amenities*

 • Fitness Center
 • Pet Friendly (Limit 2 Pets, Dog Breed Restrictions)
 • Ball Courts
 • Playground
 • Resort-Style Pool (coming in 2014)
 • Jogging Trail




The monthly rental price stated on Craigslist is accurate at the time of post.
Please call to verify all pricing and availability as it may be subject to change daily.

Arcadia Run is an Equal Housing Opportunity Provider
.-: :-. ...--:-....:-----:..:-.. .----:.----:.----:-..:..... ...-:---..

ykTeyVf lkTea UkTetd cCjUZD fkTeaXv pkTeuz aeKC akEZW RkTebNQ EHO / This Property iS AN EquaL HOuSiNg opPortUnitY PRoViDeR TkTecMDHwr kTe pIQgE Ope
    ",dogs are OK - wooof,apartment,6,w/d in unit,street parking,$1775,,1177,http://washingtondc.craigslist.org/nva/apa/4997361935.html
4977852681,,,38.635600,0,-77.268300,,available now,12857, 3.5,3 ,,2016-02-01,"
 Clean & Beautiful Townhouse w/ Garage in Gated Community2106 Ivy Stone Pl, Woodbridge, VA 22191$2,150/mo KEY FEATURESYear Built:  2007Sq Footage:  2000 sqft.Bedrooms:  3 BedsBathrooms:  3.5 BathsParking:  2 Garage | Guest parkingLease Duration:  1 YearDeposit:  $2,150Pets Policy:  case by caseLaundry:  In UnitProperty Type:  TownhouseDESCRIPTIONGorgeous upscale 3 story brick front townhouse with garage in prestigious gated Potomac Club community. Complete with hardwood floors throughout main floor, granite counter-tops, stainless steel appliances, master bedroom w/ tray ceiling, walk-in closet and private bath, and finished basement. Large indoor and outdoor pool, business center, full gym, tot lot, and rock climbing wall. Prime location close to 95, Potomac Town Center, and Potomac Mills mall.

CONTACT INSTRUCTIONS:
If interested, please provide the following info via e-mail:

Name:
Phone:
Reason for Moving:
# of People & Relationship to You:
Intended Rental Term:
Occupancy Date:
# of & type(s) of pet(s):
# of Smokers:
Credit score(s):
Landlord Reference?
Your Occupation(s):
Length(s) of employment:
Monthly income:
Have you ever owned a home?:RENTAL FEATURESDining roomWalk-in closetMaster bathFamily roomBreakfast nookBasementRange / OvenRefrigeratorDishwasherMicrowaveGarbage disposalStainless steel appliancesHeat: forced airCentral A/CAir conditioningCeiling fansDouble pane / Storm windowsCable-readyHigh-speed internetIntercom systemHardwood floorTile floorGranite countertopFireplaceHigh / Vaulted ceilingCOMMUNITY FEATURESControlled accessGated entryShared poolFitness centerClubhousePlaygroundGuest parkingOn-street parking 
",,townhouse,21,w/d in unit,attached garage,$2150,no smoking,2000,http://washingtondc.craigslist.org/nva/apa/4977852681.html
4997338888,Annandale,US,38.830700,0,-77.214200,VA,available now,54000, 1,1 ,cats are OK - purrr,2016-04-16,"
        Large 1 Bedroom 
Great Location!
Large closets.
washer and dryer in the apartment.


* Fitness Center
* Swimming Pool
* Business Center
* Plus Much More!

Call Maricela For more information 
 show contact info


AV156will MD
    ",dogs are OK - wooof,apartment,5,w/d in unit,off-street parking,$1380,,912,http://washingtondc.craigslist.org/nva/apa/4997338888.html
