,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,time_of_posting,url
5008166265,,,38.676000,0,-77.316300,,available now,270000, 1,1 ,cats are OK - purrr,2015-05-03,"
        New clubhouse with a flat screen television, free Wi-Fi and a new kitchen with granite countertops.
Children's playground, on-site dog park and a new entertaining area with a large, brick encased grill.
Close to George Mason University, Northern Virginia Community College and Marymount University.

830 sf | One bedroom | One bath: $1224-$2701
Availability and pricing can change daily.
Professionally Managed by OP Property Management, LLC
Equal Housing Opportunity | Smoke-Free Transition

Apartment Amenities
Walk-in Closets | Balcony or Patio | W/D | Double-Vanity Bathroom
www.springwoodsapts.com ~ 
 show contact info
~ Springwoods at Lake Ridge Apartment Homes

",dogs are OK - wooof,apartment,5,w/d in unit,off-street parking,$1224,no smoking,830,2015-05-03  4:59pm,http://washingtondc.craigslist.org/nva/apa/5008166265.html
5008154973,,,,,,,available now,270000, 1,2 ,cats are OK - purrr,2015-05-20,"
Welcome Home. Imagine yourself living here!Welcome to Wheelhouse of Fair OaksCall Now: 
 show contact info
Wheelhouse of Fair Oaks 12105 Polo St, Fairfax, VA, 22033Additional Information:http://lease.thrivecommunities.com/69i955This is a 1 Bedroom, 1 Bath, Apartment Home. Wheelhouse of Fair Oaks offers comfortable and luxurious Fairfax VA apartments for rent. These Virginia apartment rentals have been thoughtfully designed to cater to all the needs of the residents that occupy them. Residents of our community can enjoy a wide variety of services in the neighborhood. The surrounding city of Fairfax is filled with amazing services such as hotels, schools, medical facilities, travel agencies, salons, and other businesses. There is also a vast multitude of entertainment options available to our apartment residents, such as golf clubs, movie theatres, shopping malls, restaurants and more.  Apartment Home Features - Air Conditioner - Cable Ready - Carpeting - Ceiling Fan - Dishwasher - Disposal - Efficient Appliances - Electronic Thermostat - Extra Storage - Fireplace* - Handrails - High Ceilings - Large Closets - Patio/Balcony - Washer/Dryer *In Select Units Community Amenities - BBQ/Picnic Area - Car Wash Station - Clubhouse - Courtyard - Covered Parking - Fitness Center - Free Weights - Garage - High Speed Internet - On-Site Maintenance - On-Site Management - Package Receiving - Pool - Public Transportation - Racquetball Court - Recycling - Spa/Hot Tub - Tennis Court Pet Policy Max 2 allowed, Rent $35, Fee $500  Managed by Thrive Communities Equal Housing Opportunity Pricing may include current special and is subject to change without notice. Sun, May 03, 2015, 13:31:11 32672393713327623 
",dogs are OK - wooof,apartment,5,w/d in unit,off-street parking,$1635,,870,2015-05-03  4:50pm,http://washingtondc.craigslist.org/nva/apa/5008154973.html
5008116907,Alexandria,US,38.820000,0,-77.058900,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-05-03,"
        At Station 650, every apartment home is winner! Now that the fight and Derby are over it's time to start looking for a stunning new apartment home! Look no further and make Station 650 your last stop! Located on Route 1 in the heart of convenient Potomac Yard, between DC and Old Town Alexandria! Our brand new community hosts exquisite apartment homes with high end finishes, such as oversized kitchen, stainless steel appliances, custom tile backsplashes, quartz countertops, full size washer/dryers and more! You will enjoy the gorgeous private outdoor courtyard with 12'glass movie wall, on-site bike shop and storage, private pet spa, fitness center, cozy clubhouse and more! Call and schedule a tour today.. Open Saturday & Sunday!
1Bedroom/1Bath starting at $1800 with awesome move in specials on selected apartments- 2 months free!! 
Check us out and reserve your new home today at http://station650potomacyard.com/ 

Station 650 -- Where Life & Style Intersect 
650 Potomac Avenue | Alexandria, VA 22301
Phone: 
 show contact info

",dogs are OK - wooof,apartment,2,w/d in unit,attached garage,$1840,,722,2015-05-03  4:23pm,http://washingtondc.craigslist.org/nva/apa/5008116907.html
4992325518,Ashburn,US,39.014200,0,-77.528500,DC,available now,270000, 2.5,3 ,cats are OK - purrr,2015-04-23,"
Apartment Amenities:
-Ceramic Tile Foyers
-Built-In Home Theater Surround Sound
-Luxurious 1Br, 2Br, 3Br and Townhome Designs
-Private garages with remote door openers available
-Nine-Foot Ceilings
-Instant-on high speed internet access and cable TV
-Island Kitchens and Two-Sided Fireplaces Available (Per Home Plan)
-Ceiling Fans

Community Amenities:
-Resident Activities
-Fastidiously Landscaped Grounds
-Flexible Lease Terms
-Swimming Pool
-Easy Access to Leesburg, Fairfax, Reston and Washington, DC
-Part of the Broadlands Master-Planned Community
-Renter Rewards Program
-Minutes from Dulles International Airport
-24-Hour Business Center
-Close to Routes 50, 28 and I-66 for Easy Commuting

Call: 
 show contact info
",dogs are OK - wooof,apartment,10,w/d in unit,attached garage,$2018,,1538,2015-04-23 10:49am,http://washingtondc.craigslist.org/nva/apa/4992325518.html
5008036650,Arlington,US,38.870597,10,-77.083099,DC,available now,0, 2,4 ,cats are OK - purrr,2015-07-01,"
        I'm a 24 year old looking to have some young professional roommates with me in this house! I am a school counselor in Arlington. I am very laid-back, friendly, and social. I enjoy running, cooking, and college basketball. I also am a big country music fan. It is a dog friendly house and I will be having a young Labrador with me. The land owner already approved my lab. I would also be open to other dogs in the house if you have one & if the landowner okay'd it! Please feel free to contact me if you would be interested! I am hoping to move in July/August but need roommates with me to make it affordable. The property is also close to Clarendon and the metro.
    ",dogs are OK - wooof,house,0,laundry on site,off-street parking,$625,no smoking,,2015-05-03  3:28pm,http://washingtondc.craigslist.org/nva/apa/5008036650.html
5008048465,,,38.983900,22,-77.367500,,available now,270000, 1,2 ,cats are OK - purrr,2015-05-03,"
        Description: 
The Bayberry is a gorgeous two bedroom one bathroom apartment is located in Herndon, VA. Our Pet friendly community is nestled in thirty-two acres of wooded splendor. Conveniently located only minutes from Reston Town Center, Dulles Toll Road, Fairfax County Parkway and other major commuter routes. We also have convenient shuttle buses that will take you to the Wiehle Avenue Silver line metro station!!

Apartment Features: 
•	Bedrooms: 2
•	Bathrooms: 1 
•	Rent: Prices differ for different lease term 
•	Deposit: $300
•	Square Footage: 967
•	Pets Allowed: Yes 
•	Lease Term: 8-15 Months

Interior Amenities: 
•	Wall-to-wall carpeting
•	Excellent closet/storage space
•	Dishwasher and garbage disposal
•	Full size washer/dryer 
•	Central Air
•	Ceramic tile in bathroom
•	Select renovated kitchens

Community Amenities 
•	Volleyball Court
•	Two playgrounds
•	Dog Park
•	Tennis Court
•	24 hour fitness center
•	Patio with grills
•	Business center
•	Swimming pool with sundeck
•	Jogging and biking trails
•	Reserved parking available
•	24 hour emergency maintenance 

Call us now at 
 show contact info
or come on in for a tour of our community! We are located at 140-A Laurel Way, Herndon VA 20170

Directions:
From Dulles Toll Road: Take Exit11 North Fairfax County Parkway(7100). Continue on the Parkway 1/2 mile to the Elden Street exit. Turn left onto Elden Street, staying in the right lane, and make the first right on to Laurel Way. Leasing Center will be on the left.
",dogs are OK - wooof,apartment,9,w/d in unit,,$1546,,967,2015-05-03  3:36pm,http://washingtondc.craigslist.org/nva/apa/5008048465.html
5007974586,,,38.832000,22,-77.120000,,available now,270000, 1,2 ,cats are OK - purrr,2015-05-03,"
Brookdale at Mark Center  http://brookdaleapts.prospectportal.com/su/ywwd CONTACT US  Brookdale at Mark Center 1400 N. Beauregard St, Alexandria, VA 22311 
show contact info
 http://brookdaleapts.prospectportal.com/su/ywwd Office Hours:   Mon : 9:00am - 6:00pm   Tue : 9:00am - 6:00pm   Wed : 9:00am - 6:00pm   Thu : 9:00am - 6:00pm   Fri : 9:00am - 6:00pm   Sat : 10:00am - 5:00pm   Sun : 12:00pm - 5:00pm      FLOORPLAN: 2 Bedroom  Sq Feet: 910.00  Rent: $1360.00 - $2245.00 Bed/Bath: 2/1  COMMUNITY AMENITIES  Direct access to I-395 3 swimming pools 7 tennis courts Miles of walking trails Complete health club facilities Playgrounds & picnic areas Easy access to The Shops at Mark Center Complimentary weekday morning & afternoon shuttle to Pentagon City Metro Resident lounge and party room Pets welcome Business center  EQUAL HOUSING OPPORTUNITY   
",dogs are OK - wooof,apartment,16,laundry on site,,$1385,,910,2015-05-03  2:46pm,http://washingtondc.craigslist.org/nva/apa/5007974586.html
5007958436,Alexandria,US,38.803115,10,-77.059763,DC,available now,270000, 1,1 ,,2015-05-03,"
        Amazing one bedroom with vaulted ceilings, bright sunny kitchen, and resort style amenities. We are one block from Wholefoods and just two blocks from the King Street Metro! This is the location you need, the price you want and the amenities you can't live without!! Call or stop by today.
Check us out at http://www.meridiancarlylecl.com or call 
 show contact info

",,apartment,17,w/d in unit,,$1856,,680,2015-05-03  2:35pm,http://washingtondc.craigslist.org/nva/apa/5007958436.html
5007917808,Alexandria,US,38.802397,10,-77.119414,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-05-03,"
 CALL US TODAY! 
show contact info
x454 THE RESERVE AT EISENHOWER1 bedroom 1 bath   888sqft   $1,705  DESCRIPTION:  This is a gorgeous 1 bedroom loft that invites you in! Fully equipped kitchen full size w/d and more!  Walking distance to the Van Dorn Street Metro, with easy access to the Beltway. Enjoy the rooftop tennis court, clubhouse, 24-hour fitness center, pool and picnic areas.  5000 Eisenhower Ave  Alexandria, va 22304  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/alexandria/the-reserve-at-eisenhower-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,4,w/d in unit,detached garage,$1705,no smoking,888,2015-05-03  2:08pm,http://washingtondc.craigslist.org/nva/apa/5007917808.html
5007896554,Arlington,US,38.898991,0,-77.113870,DC,available now,270000, 1,1 ,,2015-05-30,"
 1BR Bright Apartment Available 5/30 (Apt 913)
The Horizons East and West Apartments is an established community in the sought-after area of North Arlington and are walking distance from the Ballston Metro Station, shopping and fine dining! Conveniently, located off Lee Highway, Route 29, Horizons is minutes from major transportation corridors and employment centers located in Arlington, Washington DC and McLean. At Horizons the vitality of the nation's capital is within an easy reach! Make the Horizons your perfect haven today!

Apartment Features
Huge windows
GREAT courtyard view
Black Appliances
Ceiling Fan
Garbage Disposal
Parquet Hardwood Floors
Separate Dining Area
Spacious Rooms

Community Features
Brand New Gym and Party Room
Elevator
On-Site Maintenance
On-Site Management
Package Receiving
Park-Like Setting Mature Landscaping
Parking with Permit
Pet Friendly
Controlled Access community

Please email if interested!




    ",,apartment,5,laundry in bldg,off-street parking,$1790,no smoking,,2015-05-03  1:54pm,http://washingtondc.craigslist.org/nva/apa/5007896554.html
